,RunId,iteration,Step,pheromone_decay,food_decay,temperature,size,seed,AgentID,food_deposited
243,24,0,2000,0.75,0.875,1.5,30,1,4,0
244,24,0,2000,0.75,0.875,1.5,30,1,5,3
245,24,0,2000,0.75,0.875,1.5,30,1,6,0
246,24,0,2000,0.75,0.875,1.5,30,1,7,0
247,24,0,2000,0.75,0.875,1.5,30,1,8,0
248,24,0,2000,0.75,0.875,1.5,30,1,9,0
249,24,0,2000,0.75,0.875,1.5,30,1,10,0
250,25,0,2000,0.75,0.875,1.5,30,2,1,0
251,25,0,2000,0.75,0.875,1.5,30,2,2,0
252,25,0,2000,0.75,0.875,1.5,30,2,3,0
253,25,0,2000,0.75,0.875,1.5,30,2,4,0
254,25,0,2000,0.75,0.875,1.5,30,2,5,0
255,25,0,2000,0.75,0.875,1.5,30,2,6,0
256,25,0,2000,0.75,0.875,1.5,30,2,7,0
257,25,0,2000,0.75,0.875,1.5,30,2,8,0
258,25,0,2000,0.75,0.875,1.5,30,2,9,0
259,25,0,2000,0.75,0.875,1.5,30,2,10,0
260,26,0,2000,0.75,0.875,2.25,30,1,1,0
261,26,0,2000,0.75,0.875,2.25,30,1,2,0
262,26,0,2000,0.75,0.875,2.25,30,1,3,0
263,26,0,2000,0.75,0.875,2.25,30,1,4,0
264,26,0,2000,0.75,0.875,2.25,30,1,5,0
265,26,0,2000,0.75,0.875,2.25,30,1,6,1
266,26,0,2000,0.75,0.875,2.25,30,1,7,0
267,26,0,2000,0.75,0.875,2.25,30,1,8,0
268,26,0,2000,0.75,0.875,2.25,30,1,9,0
269,26,0,2000,0.75,0.875,2.25,30,1,10,0
270,27,0,2000,0.75,0.875,2.25,30,2,1,0
271,27,0,2000,0.75,0.875,2.25,30,2,2,0
